gold_id,latitude,longitude
Go0002129,44.652137,-124.070921
Go0002130,44.652348,-124.063185
Go0002131,44.652348,-124.063185
Go0002132,44.655,-124.064
Go0002133,21.44,-157.78
Go0002134,54.25,7.933333
Go0002135,18.95,-155.25
Go0002149,54.240548,9.854573
Go0002152,-34.01667,151.31667
Go0002153,7.79944,98.2075
Go0002187,37.584154,-76.178374
Go0002166,49.263,123.138
Go0002182,27.95,-82.46
Go0002192,70.662316,23.682752
Go0002194,48.87,2.33
Go0002195,41.66667,2.8
Go0002196,16.1851,-61.5837
Go0002197,26.986559,-102.063686
Go0002198,50.452258,-104.605694
Go0002200,55.93342,12.526259
Go0002201,43.255,76.912
Go0002203,33.048,-116.866
Go0002212,35.493,-118.85
Go0002213,35.493,-118.85
Go0002224,23.146729,99.246216
Go0002228,35.2,-111.65
Go0002229,35.985007,-121.245346
Go0002235,42.733621,-84.546582
Go0002239,45.394173,5.259637
Go0002242,37.87,-122.27
Go0002244,47.9615,16.5171
Go0002245,48.6911,6.1823
Go0002249,40.437746,-74.20347
Go0002250,44.5844249,-111.074468
Go0002255,37.566535,126.977969
Go0002256,39.538845,-107.783363
Go0002258,47.800499,13.04441
Go0002260,14.7031,-17.4221
Go0002265,52.38,9.82
Go0002266,53.869,8.693
Go0002268,42.759,-84.399
Go0002270,62.520684,139.053039
Go0002271,52.637993,-1.640747
Go0002272,4.6,74.08
Go0002273,-27.32,148.72
Go0002275,27.27,127.17
Go0002289,44.088769,-62.738342
Go0002293,44.7532,-110.7227
Go0002294,45.360542,11.789381
Go0002298,40.668,-122.527
Go0002302,43.796,87.627
Go0002303,31.496,35.496
Go0002309,-68.3481,78.0432
Go0002315,45.3453,34.49973
Go0002316,40.106649,-88.195627
Go0002317,38.4154,14.9609
Go0002318,-3.089,152.567
Go0002319,-68.4,78.18
Go0002320,-68.4,78.18
Go0002321,52.366,4.9165
Go0002323,45.411,-75.698
Go0002325,36.674,24.517
Go0002333,47.607503,-122.343002
Go0002334,52.45785,158.196201
Go0002335,52.45785,158.196201
Go0002336,52.45785,158.196201
Go0002338,40.5126,-121.4347
Go0002339,40.515313,-121.433315
Go0002340,60.15,19.55
Go0002342,44.699641,-110.745721
Go0002343,44.6184,-110.1025
Go0002344,63.999559,-21.190968
Go0002435,13.693063,-89.214351
Go0002444,29.32,-82.23
Go0002556,51.5,-0.12
Go0002459,6.88,-6.44
Go0002481,68.35,-133.7
Go0002489,50.708,-71.8981
Go0002512,36.792405,-119.418068
Go0002535,44.53447,-0.343195
Go0002536,45.694903,9.669953
Go0002537,45.694903,9.669953
Go0002538,45.694903,9.669953
Go0002557,51.500152,-0.126236
Go0002558,51.5,-0.12
Go0002559,51.5,-0.12
Go0002560,51.5,-0.12
Go0002561,51.5,-0.12
Go0002562,51.5,-0.12
Go0002563,51.5,-0.12
Go0002564,51.5,-0.12
Go0002566,-22.970077,-43.256963
Go0002568,51.5,-0.12
Go0002569,51.5,-0.12
Go0002570,51.5,-0.12
Go0002571,51.5,-0.12
Go0002572,51.5,-0.12
Go0002574,51.500152,-0.126236
Go0002575,51.500152,-0.126236
Go0002579,53.344104,-6.267494
Go0002639,60,100
Go0002685,36.035,138.117
Go0002686,35.63,139.55
Go0002690,37.7439,-119.5754
Go0002691,37.7439,-119.5754
Go0002703,40.75,-73.98
Go0002742,-28.409279,30.909119
Go0002759,34.145892,-118.132351
Go0002779,38.25222,140.335602
Go0002833,33.378561,126.566191
Go0002884,53.83,-3.05
Go0002932,34.7,-76.66
Go0002963,9.542534,138.11013
Go0002964,32.2,-110.89
Go0002965,32.2,-110.89
Go0003013,-35.309,142.842
Go0003055,34.1375,-118.1254
Go0003072,-21.14273,-48.007168
Go0003084,43.07,-89.4
Go0003087,29.82,-95.34
Go0003097,48.13,11.57
Go0003105,32.736195,-117.14972
Go0003126,52.091262,5.122748
Go0003142,36,-78.92
Go0003156,25.913323,-97.495017
Go0003209,7.378841,3.895278
Go0003215,54.05,-2.8
Go0003218,-4.23,152.2
Go0003219,25.13,-80.41
Go0003221,34.856,138.938
Go0003222,-38.131667,176.241944
Go0003228,37.463,121.447
Go0003229,54.9725,8.3398
Go0003230,34.183333,-70.208333
Go0003231,44.65167,-124.41167
Go0003233,39.643333,-70.462
Go0003236,44.65,-124.167
Go0003246,43.849784,-69.6266
Go0003249,-23.821424,31.445618
Go0003262,23.228,120.849
Go0003265,53.37,-1.5
Go0003269,40.4433,-79.9591
Go0003270,40.4433,-79.9591
Go0003697,22.75,-158
Go0003320,38.707163,-9.135517
Go0003321,38.707163,-9.135517
Go0003337,43.152,13.071
Go0003346,-6.314993,143.95555
Go0003347,49.895452,-97.138273
Go0003354,51.53,9.92
Go0003355,-35.3,142.7
Go0003395,30.418502,30.333323
Go0003396,52.504582,82.999935
Go0003401,14.170133,121.24295
Go0003403,42.44,-76.5
Go0003406,34.75,135.46
Go0003430,-38.626686,176.103491
Go0003442,46.26,34.86
Go0003443,55.126,158.334
Go0003444,4.63,-74.08
Go0003447,40.4433,-79.9591
Go0003454,35.8617292,139.6454822
Go0003456,-33.917219,151.23128
Go0003465,48.582,7.743
Go0003479,45.507718,-73.555528
Go0003482,48.616667,2.464817
Go0003484,27.87,-110.81
Go0003485,-0.307616,-20.566842
Go0003487,14.75,-44.983
Go0003489,23.36,-44.93
Go0003490,65.05,-16.8
Go0003491,36.040278,140.394167
Go0003492,21.37,38.07
Go0003498,39.281,-76.29
Go0003500,-6.247447,107.148452
Go0003509,51.51,-0.13
Go0003513,29.4,-82.3
Go0003516,57.696981,11.986383
Go0003518,47.653544,-117.411263
Go0003524,39.348317,-107.859192
Go0003527,44.376262,-110.690383
Go0003528,44.376262,-110.690383
Go0003535,46.803984,-71.244793
Go0003560,37.57,127
Go0003566,57.162143,-2.719417
Go0003608,43.062071,-89.400846
Go0003611,41.15,-112.67
Go0003612,41.177,-112.502
Go0003613,19.513469,-80.566956
Go0003614,38.132591,15.05422
Go0003617,40.811936,14.074832
Go0003619,30.437189,30.334396
Go0003620,43.533333,4.5
Go0003621,45.05,41.98
Go0003631,65.852983,23.155277
Go0003636,57.7006827,11.6136629
Go0003640,43.849784,-69.6266
Go0003647,-1.944,36.252
Go0003648,12.8,-103.93
Go0003651,-1.944676,36.252237
Go0003655,-29.266667,-177.916667
Go0003658,64.000879,-21.200366
Go0003664,44.837368,-0.576144
Go0003665,65.858521,23.0866897
Go0003667,48.582933,7.743749
Go0003676,54.431,160.139
Go0003678,51.97,5.665
Go0003680,51.333265,94.52413
Go0003681,47.661279,9.172061
Go0003682,54.5,159.97
Go0003683,24.950001,-100.461304
Go0003685,-25.316667,70.033355
Go0003687,38.743434,140.71658
Go0003688,44.806,-110.448
Go0003689,60.886314,3.611503
Go0003690,37.946,-25.49
Go0003691,35.447,139.642
Go0003692,36.266667,-33.9
Go0003693,34.194,132.218
Go0003696,63.879,-22.434
Go0003698,54.9725,8.3398
Go0003707,40.05,-74.4
Go0003722,54.593,160.273
Go0003726,40.756054,-73.986951
Go0003744,39.083916,-77.156823
Go0003764,-12.211258,-76.908227
Go0003767,39.083916,-77.156823
Go0003768,39.083916,-77.156823
Go0003769,39.083916,-77.156823
Go0003787,-17.829,31.053
Go0003791,44.407062,8.933989
Go0003793,40.4433,-79.9591
Go0003803,-12.353811,130.882602
Go0003822,39.083916,-77.156823
Go0003824,39.083916,-77.156823
Go0003833,50.814788,8.769239
Go0003840,50.814788,8.769239
Go0003851,2.5167,101.8
Go0003857,35.011636,135.768029
Go0003862,37.953511,139.031525
Go0003870,43.361132,5.409851
Go0003877,34.021575,-81.037104
Go0003882,38.989977,-77.121382
Go0003890,47.57,-122.64
Go0003892,40.382709,9.012008
Go0003895,49.401929,8.680239
Go0003901,47.366667,8.55
Go0003903,53.998709,112.891865
Go0003916,54.37,10.2
Go0003917,36.674912,24.51367
Go0003931,43.078418,-89.386482
Go0003951,39.961,-82.998
Go0003955,-31.53,116.947
Go0003957,-31.530408,116.947875
Go0003959,54.520524,159.968948
Go0003960,64.8631,-19.52906
Go0003963,59.378217,13.504219
Go0003973,49.783941,22.767406
Go0003976,0,-140
Go0003977,54.5,159.96
Go0003978,54.5,159.96
Go0003982,46.92,7.47
Go0003983,52.091262,5.122748
Go0003986,37.253833,126.560783
Go0003995,-28.5305539,30.8958242
Go0004012,-23.548943,-46.638818
Go0004013,38.345203,-0.481006
Go0004015,55.603,13.001
Go0004027,37.87,-122.27
Go0004030,47.800499,13.04441
Go0004038,-33.42536,-70.566466
Go0004040,61.525676,24.134639
Go0004041,36.455556,-116.866667
Go0004058,40.438423,-80.001933
Go0004060,40.43,-80
Go0004064,35.159545,126.852601
Go0004068,0,0
Go0004069,0,0
Go0004075,0,0
Go0004076,0,0
Go0004082,22.396428,114.109497
Go0004087,35.159545,126.852601
Go0004088,35.159545,126.852601
Go0004089,35.689488,139.691706
Go0004106,43.084,-89.401
Go0004107,32.248,-110.926
Go0004118,13.116227,121.079371
Go0004120,13.116227,121.079371
Go0004139,44.653167,-124.178167
Go0004140,32.866667,-117.251389
Go0004142,34.585013,133.772084
Go0004145,40.737164,-74.563065
Go0004151,45.067022,38.97789
Go0004155,42.022864,-93.626792
Go0004166,40.438423,-80.001933
Go0004168,5.116667,7.366667
Go0004171,0,0
Go0004173,46.549989,8.711635
Go0004181,54.10114,13.3885
Go0004184,31.39,-81.27
Go0004187,38.096557,13.407033
Go0004190,21.460467,-157.787657
Go0004192,32.866667,-117.251389
Go0004194,30.33,-78.53
Go0004195,44.653167,-124.178167
Go0004196,21.460467,-157.787657
Go0004197,21.460467,-157.787657
Go0004198,47.644772,-122.861292
Go0004199,10.75918,106.662498
Go0004202,-33.922461,18.416619
Go0004207,38.564626,-90.178571
Go0004208,21.460467,-157.787657
Go0004209,21.460467,-157.787657
Go0004210,21.460467,-157.787657
Go0004211,21.460467,-157.787657
Go0004212,21.460467,-157.787657
Go0004213,37.464527,-76.145368
Go0004214,37.464527,-76.145368
Go0004216,31.32,-80.14
Go0004217,40.55515,-74.215865
Go0004223,43.7555,-89.055234
Go0004229,38.345203,-0.481006
Go0004237,5.8543,-6.2067
Go0004243,13.723419,100.476232
Go0004249,47.23,8.63
Go0004253,57.187679,-2.184277
Go0004256,26.212401,127.680932
Go0004261,52.011899,4.360257
Go0004269,23.34593,90.71093
Go0004276,44.603028,-110.865194
Go0004296,43.07,-89.4
Go0004302,35.689488,139.691706
Go0004312,30.581,-91.244
Go0004315,56.115502,15.537785
