,package_id,centroid_latitude,centroid_longitude
2042,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.6256,-120.5837
2043,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.7638,-120.4564
2044,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.5384,-120.4804
2045,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.2396,-121.2274
2046,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.2321,-119.9999
2047,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.5308,-120.4703
2048,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.7288,-120.7137
2049,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.2553,-119.4741
2050,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.8986,-120.6422
2051,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.8675,-120.7744
2052,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.8328,-120.7109
2053,ess-dive-01092fc392bc46d-20240819T143818677,38.957,-106.965
2054,ess-dive-dc33b3ac49d2c05-20240814T194216508,61.332915,-0.2879000000000076
2055,ess-dive-02f2dec6c23192c-20240813T180641391,43.7037,-72.293
2056,ess-dive-0c4579ec3e4bbad-20240812T151357277,48.8186,-122.5806
2057,ess-dive-0c4579ec3e4bbad-20240812T151357277,37.7323,-121.1082
2058,ess-dive-0c4579ec3e4bbad-20240812T151357277,42.5055,-73.5062
2059,ess-dive-0c4579ec3e4bbad-20240812T151357277,42.7638,-73.3372
2060,ess-dive-0c4579ec3e4bbad-20240812T151357277,41.3093,-83.1578
2061,ess-dive-0c4579ec3e4bbad-20240812T151357277,35.3668,-77.4403
2062,ess-dive-0c4579ec3e4bbad-20240812T151357277,45.5974,-110.566
2063,ess-dive-0c4579ec3e4bbad-20240812T151357277,41.3166,-102.126
2064,ess-dive-0c4579ec3e4bbad-20240812T151357277,32.3505,-111.0953
2065,ess-dive-0c4579ec3e4bbad-20240812T151357277,44.5505,-123.2497
2066,ess-dive-0c4579ec3e4bbad-20240812T151357277,44.556,-123.2769
2067,ess-dive-0c4579ec3e4bbad-20240812T151357277,33.684,-84.4153
2068,ess-dive-0c4579ec3e4bbad-20240812T151357277,29.3338,-95.2832
2069,ess-dive-0c4579ec3e4bbad-20240812T151357277,46.804,-96.798
2070,ess-dive-0c4579ec3e4bbad-20240812T151357277,32.4713,-111.3042
2071,ess-dive-0c4579ec3e4bbad-20240812T151357277,46.4979,-84.3742
2072,ess-dive-0c4579ec3e4bbad-20240812T151357277,45.0844,-92.7856
2073,ess-dive-0c4579ec3e4bbad-20240812T151357277,41.3825,-72.8972
2074,ess-dive-0c4579ec3e4bbad-20240812T151357277,41.5236,-72.2067
2075,ess-dive-0c4579ec3e4bbad-20240812T151357277,30.2457,-97.6915
2076,ess-dive-0c4579ec3e4bbad-20240812T151357277,30.4384,-91.1912
2077,ess-dive-0c4579ec3e4bbad-20240812T151357277,37.3724,-80.8599
2078,ess-dive-0c4579ec3e4bbad-20240812T151357277,37.0422,-80.5627
2079,ess-dive-0c4579ec3e4bbad-20240812T151357277,42.4716,-72.3303
2080,ess-dive-0c4579ec3e4bbad-20240812T151357277,45.7924,-121.9289
2081,ess-dive-0c4579ec3e4bbad-20240812T151357277,45.7925,-121.929
2082,ess-dive-0c4579ec3e4bbad-20240812T151357277,45.7922,-121.9284
2083,ess-dive-0c4579ec3e4bbad-20240812T151357277,32.9633,-87.4092
2084,ess-dive-0c4579ec3e4bbad-20240812T151357277,32.9618,-87.4082
