id,lat_lon
nmdc:bsm-13-dd9rmc16,"{'has_raw_value': '46.37228508 -119.2716818', 'latitude': 46.37228508, 'longitude': -119.2716818, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-8e1rjf10,"{'has_raw_value': '46.37380143 -119.2723688', 'latitude': 46.37380143, 'longitude': -119.2723688, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-sepcxd06,"{'has_raw_value': '46.37379502 -119.2722385', 'latitude': 46.37379502, 'longitude': -119.2722385, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-mvpx4z13,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-an5fyr03,"{'has_raw_value': '46.37228249 -119.2718117', 'latitude': 46.37228249, 'longitude': -119.2718117, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-6naxpa52,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-13145k83,"{'has_raw_value': '46.37379502 -119.2722385', 'latitude': 46.37379502, 'longitude': -119.2722385, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-c0xjg970,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-zms1jq91,"{'has_raw_value': '46.37228508 -119.2716818', 'latitude': 46.37228508, 'longitude': -119.2716818, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-3pvn5d70,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-amdcp906,"{'has_raw_value': '46.37228508 -119.2716818', 'latitude': 46.37228508, 'longitude': -119.2716818, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-vqk1y255,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-fcz67681,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-5perne71,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-bbvmxw69,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-sx4w7069,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-4y3pzr19,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-x1ma5j53,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-s6pqdh86,"{'has_raw_value': '47.5028 -93.4828', 'latitude': 47.5028, 'longitude': -93.4828, 'type': 'nmdc:GeolocationValue'}"
