biosample_id,latitude,longitude
nmdc:bsm-13-ap544f22,46.372,-119.272
nmdc:bsm-13-mk8xn190,46.372,-119.272
nmdc:bsm-11-k3p2ap93,38.920406451,-106.948476151
nmdc:bsm-13-e0k5ah66,46.372,-119.272
nmdc:bsm-13-pwhhkn77,46.372,-119.272
nmdc:bsm-11-v1mm5n61,38.920487572,-106.948785516
nmdc:bsm-13-q0qxrf57,46.372,-119.272
nmdc:bsm-13-56cms945,46.372,-119.272
nmdc:bsm-13-axxvr150,46.372,-119.272
nmdc:bsm-13-hhmw8908,46.372,-119.272
nmdc:bsm-13-zq681s85,46.372,-119.272
nmdc:bsm-13-ar21wv07,46.372,-119.272
nmdc:bsm-13-115vwp18,46.372,-119.272
nmdc:bsm-13-23s8n519,46.372,-119.272
nmdc:bsm-13-es4hyk77,46.372,-119.272
nmdc:bsm-13-cp77j103,46.372,-119.272
nmdc:bsm-11-k05a2416,38.920406451,-106.948476151
nmdc:bsm-13-xvyhr616,46.372,-119.272
nmdc:bsm-13-1va3fe33,46.372,-119.272
nmdc:bsm-13-n0mn8432,46.372,-119.272
nmdc:bsm-13-rrsd4804,46.372,-119.272
nmdc:bsm-13-atnpav02,46.372,-119.272
nmdc:bsm-13-ty597764,46.372,-119.272
nmdc:bsm-13-4pbbvj63,46.372,-119.272
nmdc:bsm-13-fyh06b54,46.372,-119.272
nmdc:bsm-13-sy2a9t67,46.372,-119.272
nmdc:bsm-13-7tkyk513,46.372,-119.272
nmdc:bsm-13-mbmbpk59,46.372,-119.272
nmdc:bsm-13-3xsa6203,46.372,-119.272
nmdc:bsm-13-rrg91187,46.372,-119.272
nmdc:bsm-13-1jqzrh47,46.372,-119.272
nmdc:bsm-11-nv967s57,38.92045766,-106.9484528
nmdc:bsm-13-q8cmd617,46.372,-119.272
nmdc:bsm-13-tr7n0581,46.372,-119.272
nmdc:bsm-13-7sbt2x61,46.372,-119.272
nmdc:bsm-11-ya398362,38.92045766,-106.9484528
nmdc:bsm-11-hf7a3g98,38.92028116,-106.94891899
nmdc:bsm-11-mbnqn650,38.92028116,-106.9489189
nmdc:bsm-11-8v7e4e60,38.92045766,-106.9484528
nmdc:bsm-13-ty48qe70,47.506961,-93.455715
nmdc:bsm-13-g2pjd092,47.506961,-93.455715
nmdc:bsm-13-p9zqbp95,47.506961,-93.455715
nmdc:bsm-13-gfj46v76,47.506961,-93.455715
nmdc:bsm-13-zaezdc83,47.506961,-93.455715
nmdc:bsm-13-d8z0bz72,47.506961,-93.455715
